#,,,,,
#,,,,,
2016-06-01,1000000000,"","","",####### OPENING BALANCE: R 594440.63 #######
2016-06-01,642.0,"","","",CREDIT TRANSFER - CAPITEC   J J Hook
2016-06-01,400.0,"","","",AUTOBANK CASH DEPOSIT - u0061 arumugam  s          0701
2016-06-01,720.0,"","","",IB PAYMENT FROM - 43FLC
2016-06-01,-3769.05,"","","",INSURANCE PREMIUM - PREMIUMCOLRF48040797CIA11057
2016-06-01,-4400.0,"","","",CATS THIRD PARTY PAYMENT - CARL BROWN         MDC94 17:05
2016-06-01,2455.57,"","","",CASHMAN ACCOUNT LEVEL INTEREST - CM ACCOUNT IN   AICR372404375
2016-06-01,-7.0,"","","",CASH DEPOSIT FEE - AUTOBANK - ACC 372404375 DEP BCH 8126
2016-06-03,-63.54,"","","",BUSINESS ELECT BANK CHARGES - STNDRDBANK   BOL PMS03 MAY 16
2016-06-04,-495.0,"","","",CATS THIRD PARTY PAYMENT - MALVERN LAWN MOWER MDC94 16:19
2016-06-04,-627.0,"","","",CATS THIRD PARTY PAYMENT - TKN SECURITY SERVI MDC94 16:19
2016-06-06,700.0,"","","",MAGTAPE CREDIT - 0001092
2016-06-07,689.0,"","","",MAGTAPE CREDIT - 0001074 -FBC FLAT 32
2016-06-07,836.0,"","","",CREDIT TRANSFER - ABSA BANK 0001077
2016-06-08,280.0,"","","",MAGTAPE CREDIT - VINESH34
2016-06-10,-2875.0,"","","",CATS THIRD PARTY PAYMENT - BRJ PORTER         MDC94 14:32
2016-06-10,-4334.0,"","","",CATS THIRD PARTY PAYMENT - BRJ PORTER         MDC94 14:32
2016-06-10,1000000000,"","","",####### CLOSING BALANCE: R 584592.61 #######
