#,,,,,
#,,,,,
2016-06-01,1000000000,"","","",####### OPENING BALANCE: R 10224.21 #######
2016-06-01,-2084.32,"","","",INSURANCE PREMIUM - PREMIUMCOLRF48038545CIA09590
2016-06-01,-2141.83,"","","",WATER AND LIGHT - ETK83253374335160526
2016-06-01,-158.47,"","","",INSURANCE PREMIUM - COMPENDIUMCOMPEN CHILT003 DK78
2016-06-01,-5212.24,"","","",ACCOUNT PAYMENT - PROPELL   PROPELL-C006942
2016-06-01,10.3,"","","",CASHMAN ACCOUNT LEVEL INTEREST - CM ACCOUNT IN   AICR201320932
2016-06-03,-150.0,"","","",INSURANCE PREMIUM - MFRF ONE  OWD4609094
2016-06-03,-24.69,"","","",BUSINESS ELECT BANK CHARGES - STNDRDBANK   BOL PMS03 MAY 16
2016-06-09,6990.0,"","","",CREDIT TRANSFER - GATE MOTOR
2016-06-09,1000000000,"","","",####### CLOSING BALANCE: R 7452.96 #######
